Date,GLD,IWM,QQQ,SPY,TLT
2017-09-18,124.36000061035156,128.59107971191406,137.66929626464844,218.67727661132812,98.77704620361328
2017-09-19,124.62000274658203,128.59107971191406,137.90573120117188,218.8961944580078,98.53424835205078
2017-09-20,123.62000274658203,129.0035858154297,137.48011779785156,218.9749755859375,98.6047134399414
2017-09-21,122.68000030517578,128.86903381347656,136.6383056640625,218.3883056640625,98.5499267578125
2017-09-22,123.23999786376953,129.4161376953125,136.50584411621094,218.4320526123047,98.83182525634766
2017-09-25,124.52999877929688,129.59548950195312,135.0681915283203,217.9854736328125,99.45050048828125
2017-09-26,123.13999938964844,130.00820922851562,135.4181671142578,218.11680603027344,99.27041625976562
2017-09-27,121.9800033569336,132.55238342285156,136.6383056640625,218.9662628173828,97.77460479736328
2017-09-28,122.20999908447266,132.90301513671875,136.5909881591797,219.22894287109375,97.48482513427734
2017-09-29,121.58000183105469,133.21771240234375,137.57470703125,219.99952697753906,97.7041015625
2017-10-02,120.7699966430664,134.85391235351562,137.69766235351562,220.95404052734375,97.52517700195312
2017-10-03,120.83000183105469,135.15065002441406,137.99085998535156,221.42689514160156,97.61937713623047
2017-10-04,121.16999816894531,134.7190704345703,138.12330627441406,221.6896514892578,97.62721252441406
2017-10-05,120.5199966430664,135.08766174316406,139.4759063720703,223.003173828125,97.2583999633789
2017-10-06,121.08999633789062,134.8988494873047,139.66500854492188,222.7491912841797,96.98371124267578
2017-10-09,122.08000183105469,134.34144592285156,139.50424194335938,222.38137817382812,97.28978729248047
2017-10-10,122.4000015258789,134.7280731201172,139.6082763671875,222.96812438964844,97.44674682617188
2017-10-11,122.79000091552734,134.62916564941406,140.02442932128906,223.31842041015625,97.63507080078125
2017-10-12,122.88999938964844,134.53028869628906,139.7690887451172,222.9856719970703,98.05094909667969
2017-10-13,123.81999969482422,134.28753662109375,140.30821228027344,223.25711059570312,98.7572021484375
2017-10-16,122.97000122070312,134.1706085205078,140.79061889648438,223.55487060546875,98.68658447265625
2017-10-17,122.12999725341797,133.78407287597656,140.9702911376953,223.7124786376953,98.81217956542969
2017-10-18,121.66999816894531,134.42236328125,140.80007934570312,223.93141174316406,98.16083526611328
2017-10-19,122.38999938964844,134.21563720703125,140.2798614501953,223.99269104003906,98.33346557617188
2017-10-20,121.61000061035156,134.83595275878906,140.65818786621094,225.14857482910156,97.28978729248047
2017-10-23,121.80000305175781,133.8290252685547,139.74073791503906,224.27288818359375,97.46240234375
2017-10-24,121.33000183105469,134.10772705078125,139.97718811035156,224.66693115234375,96.85822296142578
2017-10-25,121.3499984741211,133.46041870117188,139.447509765625,223.55487060546875,96.39522552490234
2017-10-26,120.33000183105469,133.73910522460938,139.00289916992188,223.84378051757812,96.07344055175781
2017-10-27,120.9000015258789,134.6651153564453,143.05116271972656,225.67405700683594,96.70909881591797
2017-10-30,121.12999725341797,133.24462890625,143.37283325195312,224.83335876464844,97.63507080078125
2017-10-31,120.66999816894531,134.1885986328125,143.9119415283203,225.18360900878906,97.66646575927734
2017-11-01,121.11000061035156,133.29859924316406,143.8646240234375,225.48138427734375,98.10128021240234
2017-11-02,121.19000244140625,133.6942138671875,143.59033203125,225.5689239501953,98.5338363647461
2017-11-03,120.62000274658203,133.60427856445312,144.97129821777344,226.3220672607422,98.80119323730469
2017-11-06,121.6500015258789,133.757080078125,145.4631805419922,226.67227172851562,99.17083740234375
2017-11-07,121.20999908447266,132.1568603515625,145.54820251464844,226.51470947265625,99.58760070800781
